xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
20136279,839900326,28.15,43469.00954,2693,0,
20138488,839901409,28.33,43469.00956,2693,0,
20139792,839902480,28.89,43469.00958,2693,0,
20140847,839903781,29.44,43469.00961,4260,0,
20141250,839904483,29.63,43469.00963,4260,0,
20142211,839906712,28.89,43469.00965,4260,0,
20142686,839908218,28.15,43469.00968,4260,0,
20142686,839908218,28.15,43469.0097,4260,0,
20142998,839909658,27.96,43469.00972,4260,0,
20143216,839912036,27.78,43469.00975,4260,0,
20143207,839912818,27.96,43469.00977,4260,0,
20143024,839914325,27.4,43469.00979,4260,0,
20142094,839916363,27.78,43469.00981,4260,0,
20141254,839917736,29.44,43469.00984,4260,0,
20140249,839919192,34.44,43469.00986,4260,0,
20140249,839919192,34.44,43469.00988,4260,0,
20139077,839920783,37.22,43469.00991,4260,0,
20137985,839922607,39.26,43469.00993,4260,0,
20136890,839924632,43.33,43469.00995,4260,0,
20135530,839928195,48.15,43469.00998,4833,0,
20134759,839930699,44.63,43469.01,4833,0,
20133993,839932739,35.55,43469.01002,4833,0,
20133993,839932739,35.55,43469.01005,4833,0,
20133653,839933632,34.26,43469.01007,4833,0,
20132388,839936183,34.44,43469.01009,4833,0,
20131462,839937861,35.55,43469.01012,4833,0,
20130536,839939561,34.26,43469.01014,4833,0,
20129196,839941435,24.07,43469.01016,4833,0,
20128198,839942278,23.15,43469.01019,4833,0,
20126207,839943521,18.14,43469.01021,4833,0,
20126207,839943521,18.14,43469.01023,4833,0,
20126207,839943521,18.14,43469.01025,4833,0,
20126207,839943521,18.14,43469.01028,4833,0,
20126207,839943521,18.14,43469.0103,4833,0,
20126207,839943521,18.14,43469.01032,4833,0,
20126207,839943521,18.14,43469.01035,4833,0,
20126207,839943521,18.14,43469.01037,4833,0,
20126207,839943521,18.14,43469.01039,4833,0,
20126207,839943521,18.14,43469.01042,4833,0,
20126207,839943521,18.14,43469.01044,4833,0,
20126207,839943521,18.14,43469.01046,4833,0,
20125605,839945679,5.92,43469.01049,4833,0,
20125444,839945402,6.48,43469.01051,4833,0,
20125283,839945115,5.55,43469.01053,-1,0,
20124957,839944837,5.92,43469.01056,-1,0,
20124712,839944612,2.59,43469.01058,-1,0,
20124631,839944579,0.55,43469.0106,-1,0,
20124548,839944610,0.18,43469.01062,-1,0,
20124548,839944589,0.55,43469.01065,-1,0,
20124466,839944556,0.18,43469.01067,-1,0,
20124466,839944556,0,43469.01069,-1,0,
20124466,839944556,0.18,43469.01072,-1,0,
20124466,839944556,0.18,43469.01074,-1,0,
20124384,839944576,0,43469.01076,-1,0,
20124466,839944577,0,43469.01079,-1,0,
20124384,839944576,0,43469.01081,-1,0,
20124302,839944554,0.18,43469.01083,-1,0,
20124302,839944554,0.18,43469.01086,-1,0,
