ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839790087,2852,43469.00722,25,0,7320
839791676,2852,43469.00725,25,0,7320
839793306,2907,43469.00727,25,0,7320
839794841,2833,43469.00729,25,0,7320
839797085,2833,43469.00731,25,0,7320
839797837,2833,43469.00734,25,0,7320
839799373,2852,43469.00736,25,0,7320
839800930,2833,43469.00738,25,0,7320
839803225,2778,43469.00741,2003,0,7320
839804718,2759,43469.00743,2003,0,7320
839806200,2722,43469.00745,2003,0,7320
839806200,2722,43469.00748,2003,0,7320
839807682,2703,43469.0075,2003,0,7320
839809198,2759,43469.00752,2003,0,7320
839810681,2852,43469.00755,2003,0,7320
839812786,2926,43469.00757,2003,0,7320
839814013,2981,43469.00759,2003,0,7320
839814948,2703,43469.00762,2003,0,7320
839815966,2796,43469.00764,2003,0,7320
839816261,2889,43469.00766,2003,0,7320
839816261,2889,43469.00769,2003,0,7320
839816598,2889,43469.00771,2003,0,7320
839816693,2852,43469.00773,2003,0,7320
839816670,2852,43469.00775,2003,0,7320
839816752,2870,43469.00778,2003,0,7320
839816813,2870,43469.0078,2004,0,7320
839816844,2852,43469.00782,2004,0,7320
839816852,2852,43469.00785,2004,0,7320
null,null,43469.00787,null,null,7320
839816881,2833,43469.00789,2004,0,7320
839816910,2833,43469.00792,2004,0,7320
839817003,2870,43469.00794,2004,0,7320
839817326,2833,43469.00796,2004,0,7320
839817618,2815,43469.00799,2004,0,7320
839817618,2815,43469.00801,2004,0,7320
839818059,2833,43469.00803,2004,0,7320
839818615,2796,43469.00806,2004,0,7320
839819845,2796,43469.00808,2004,0,7320
839819845,2796,43469.0081,2004,0,7320
839820653,2740,43469.00812,2004,0,7320
839822124,2796,43469.00815,2004,0,7320
839823644,2778,43469.00817,2004,0,7320
839824735,2796,43469.00819,582,0,7320
839824735,2796,43469.00822,582,0,7320
839827112,2740,43469.00824,582,0,7320
839829176,2815,43469.00826,582,0,7320
839829898,2796,43469.00829,582,0,7320
839829898,2796,43469.00831,582,0,7320
839831288,2796,43469.00833,582,0,7320
839833408,2796,43469.00836,582,0,7320
839834923,2833,43469.00838,582,0,7320
839834923,2833,43469.0084,582,0,7320
null,null,43469.00843,null,null,7320
839839472,2889,43469.00845,582,0,7320
839839472,2889,43469.00847,582,0,7320
839843301,2907,43469.0085,582,0,7320
839844930,2907,43469.00852,582,0,7320
839846549,2907,43469.00854,582,0,7320
839847373,2907,43469.00856,582,0,7320
839847373,2907,43469.00859,582,0,7320
839849529,2611,43469.00861,582,0,7320
839851028,2759,43469.00863,582,0,7320
839854661,3259,43469.00866,582,0,7320
839856178,3555,43469.00868,582,0,7320
839856920,3704,43469.0087,235,0,7320
839859183,3815,43469.00873,235,0,7320
839860601,3666,43469.00875,235,0,7320
null,null,43469.00877,null,null,7320
839861997,3741,43469.0088,235,0,7320
839863965,3629,43469.00882,235,0,7320
839863965,3629,43469.00884,235,0,7320
839865223,3574,43469.00887,235,0,7320
839867129,3444,43469.00889,235,0,7320
