Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_538CJ,TAB-852,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,254.165,1403,361.038456,10.54,14.494
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_539CJ,TAA-935,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,10.24,13.817
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_539CJ,TAA-935,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,50.835,1403,72.207691,10.24,13.817
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_13CED,TOU-907,24,37.392,TRANSPORTES E INVERSIONES CEDAR S.R.L.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,228.75,1403,324.93461,10.57,14.729
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1501MA,TOH-887,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,177.915,1403,252.726919,10.14,13.116
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1502MA,T0H-890,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,10.31,13.707
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1503MA,TOH-896,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,101.665,1403,144.415382,10.26,14.302
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1504MA,TOH-914,24,37.392,TRANSPORTES LA MAMITA,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,203.335,1403,288.830764,7.34,13.563
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1505MA,TOH-927,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,152.5,1403,216.623073,10,13.288
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1508MA,TOC-919,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,101.665,1403,144.415382,10.74,
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1509MA,T0C-923,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,9.65,13.929
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1513MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,76.25,1403,108.311536,10.21,13.607
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1514MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,0,13.891
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1515MA,,24,37.392,TRANSPORTES LA MAMITA,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,254.165,1403,361.038456,10.28,13.9
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1515MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,10.28,13.9
